即	jí	promptly, quickly, immediately	即將 即使 立即	jíjiāng jíshǐ lìjí
另	lìng	another, separate, other	另外	lìngwài
錄	lù	copy, write down, record	記錄 錄取 錄音	jìlù lùqǔ lùyīn
免	miǎn	spare; excuse from; evade	避免 免費 以免	bìmiǎn miǎnfèi yǐmiǎn
換	huàn	change, exchange; substitute	交換 換取	jiāohuàn huànqǔ
基	jī	foundation, base	基本 基礎 基督教	jīběn jīchǔ Jīdūjiào
板	bǎn	plank, board; iron or tin plate	老板 黑板 地板	lǎobǎn hēibǎn dìbǎn
奴	nú	slave, servant	奴隸	núlì
拿	ná	take, hold, grasp; bring; with	拿手	náshǒu
遠	yuǎn	distant, remote, far; profound	永遠 跳遠 遠大	yǒngyuǎn tiàoyuǎn yuǎndà
束	shù	bind, control, restrain; bale	結束 束縛 約束	jiéshù shùfù yuēshù
速	sù	quick, prompt, speedy	高速 速度 加速	gāosù sùdù jiāsù
形	xíng	form, shape, appearance	地形 情形 形容	dìxíng qíngxing xíngróng
咳	hāi	cough	咳嗽	késou
孩	hái	baby, child; children	孩子 小孩	háizi xiǎohái
備	bèi	prepare, ready, perfect	準備 設備 預備	zhǔnbèi shèbèi yùbèi
哥	gē	elder brother	哥哥 大哥 大哥大	gēge dàgē dàgēdà
歌	gē	song, lyrics; sing, chant; praise	唱歌 歌曲 歌星	chànggē gēqǔ gēxīng
封	fēng	letter, envelope; feudal	信封 封建 封閉	xìnfēng fēngjiàn fēngbì
幫	bāng	to help, assist; to defend; shoe upper	幫忙 幫助	bāngmáng bāngzhù
確	què	sure, certain; real, true	確定 確認 正確	quèdìng quèrèn zhèngquè
候	hòu	wait; expect; visit; greet	時候 有時候 問候	shíhou yǒushíhou wènhòu
舍	shè	house, dwelling; dwell, reside	宿舍	sùshè
余	yú	I, my, me; surname; surplus		
除	chú	eliminate, remove, except	除了 除夕 除非	chúle Chúxī chúfēi
介	jiè	forerunner, herald, harbinger; to lie between; sea shell; to wear armor	介紹 介入	jièshào jièrù
界	jiè	boundary, limit; domain; society; the world	世界 界線 外界	shìjiè jièxiàn wàijiè
壯	zhuàng	big, large; robust; name of tribe	健壯 強壯 壯觀	jiànzhuàng qiángzhuàng zhuàngguān
裝	zhuāng	dress, clothes; decorate; fill	服裝 假裝 安裝	fúzhuāng jiǎzhuāng ānzhuāng
類	lèi	class, group, kind, category	人類 類似 之類	rénlèi lèisì zhīlèi
講	jiǎng	explain; discuss; talk	講話 講價 講究	jiǎnghuà jiǎngjià jiǎngjiu
器	qì	receptacle, vessel; instrument	樂器 機器 器材	yuèqì jīqì qìcái
南	nán	south; southern part; southward	南部 南邊 東南	nánbù nánbian dōngnán
案	àn	table, bench; legal case	答案 檔案 方案	dáàn dàngàn fāngàn
畫	huà	delineate, painting, picture, drawing; draw	畫兒 計畫 畫家	huàr jìhuà huàjiā
英	yīng	petal, flower, leaf; brave, a hero; England, English	英文 英俊 英雄	Yīngwén yīngjùn yīngxióng
斥	chì	to scold, upbraid, accuse, reproach	排斥 充斥	páichì chōngchì
訴	sù	accuse; sue; inform; narrate	告訴 訴苦	gàosù sùkǔ
帶	dài	belt, girdle, band, strap, zone	帶來 帶領 地帶	dàilái dàilǐng dìdài
差	chā	to differ; different, wrong; nearly, almost; an officer	差不多 差別 差異	chàbuduō chābié chāyì
兮	xī	exclamatory particle		
乎	hū	interrogative or exclamatory final particle	似乎 合乎 幾乎	sìhū héhū jīhū
量	liàng	measure, quantity, capacity	力量 測量 產量	lìliang cèliáng chǎnliàng
久	jiǔ	long time (ago); time passage, grow late	不久 長久 持久	bùjiǔ chángjiǔ chíjiǔ
卓	zhuō	profound, brilliant, lofty	卓越	zhuóyuè
掉	diào	turn, move; shake, wag; drop down	失掉	shīdiào
似	shì	resemble, similar to; as if, seem	似乎 類似 相似	sìhū lèisì xiāngsì
整	zhěng	orderly, neat, tidy; whole	整理 整齊 調整	zhěnglǐ zhěngqí tiáozhěng
引	yǐn	to pull, draw out, attract; to stretch	吸引 引起 引發	xīyǐn yǐnqǐ yǐnfā
班	bān	class, group, grade; squad; job	上班 下班 班機	shàngbān xiàbān bānjī
迷	mí	bewitch, charm, infatuate	迷路 迷人 昏迷	mílù mírén hūnmí
圖	tú	diagram; chart, map, picture	圖書館 圖片 地圖	túshūguǎn túpiàn dìtú
制	zhì	system; establish; overpower	限制 制度 管制	xiànzhì zhìdù guǎnzhì
韋	wéi	tanned leather; surname; KangXi radical number 178		
費	fèi	expenses, expenditures, fee	學費 費用 經費	xuéfèi fèiyòng jīngfèi
塞	sāi	stop up, block, seal, cork; pass, frontier; fortress	閉塞 堵塞 塞車	bìsè dǔsè sāichē
賽	sài	compete, contend; contest, race	比賽 球賽 賽跑	bǐsài qiúsài sàipǎo
奇	qí	strange, unusual, uncanny, occult	奇怪 好奇 神奇	qíguài hàoqí shénqí
識	shì	recognize, understand, know	認識 知識 常識	rènshi zhīshi chángshí
刑	xíng	punishment, penalty; law	服刑 刑事	fúxíng xíngshì
型	xíng	pattern, model, type; law; mold	大型 典型 髮型	dàxíng diǎnxíng fàxíng
召	zhào	imperial decree; summon	號召 召開 召集	hàozhào zhàokāi zhàojí
超	chāo	jump over, leap over; surpass	超級市場 超市 超過	chāojíshìchǎng chāoshì chāoguò
邊	biān	edge, margin, side, border	右邊 左邊 旁邊	yòubian zuǒbian pángbiān
牙	yá	tooth, molars, teeth; serrated	牙刷 刷牙 牙齒	yáshuā shuāyá yáchǐ
邪	xié	wrong, evil, depraved, vicious, perverse, heterodox		
耶	yé	used in transliteration		
唯	wéi	only; yes	唯一	wéiyī
雖	suī	although, even if	雖然 雖說	suīrán suīshuō
始	shǐ	begin, start; then, only then	開始 始終 原始	kāishǐ shǐzhōng yuánshǐ
軍	jūn	army, military; soldiers, troops	軍隊 軍人 空軍	jūnduì jūnrén kōngjūn
運	yùn	luck, fortune; ship, transport	運動 幸運 運氣	yùndòng xìngyùn yùnqi
李	lǐ	plum; judge; surname	行李	xíngli
矛	máo	spear, lance; KangXi radical 110	矛盾	máodùn
務	wù	affairs, business; must, should	服務員 服務生 服務	fúwùyuán fúwùshēng fúwù
權	quán	power, right, authority	權利 人權 集權	quánlì rénquán jíquán
驗	yàn	test, examine, inspect; verify	經驗 測驗 檢驗	jīngyàn cèyàn jiǎnyàn
賣	mài	sell; betray; show off	買賣 出賣 販賣	mǎimài chūmài fànmài
讀	dú	read, study; pronounce	讀書 讀者 閱讀	dúshū dúzhě yuèdú
怪	guài	strange, unusual, peculiar	奇怪 難怪 古怪	qíguài nánguài gǔguài
升	shēng	arise, go up; hoist; advance	升級 升學 回升	shēngjí shēngxué huíshēng
飛	fēi	fly; go quickly; dart; high	飛機 飛機場 起飛	fēijī fēijīchǎng qǐfēi
滿	mǎn	fill; full, satisfied	滿意 不滿 客滿	mǎnyì bùmǎn kèmǎn
服	fú	clothes; wear, dress	衣服 舒服 服務員	yīfu shūfu fúwùyuán
勻	yún	equal, impartially, uniform, even	均勻	jūnyún
夢	mèng	dream; visionary; wishful	做夢 夢想 夢見	zuòmèng mèngxiǎng mèngjiàn
收	shōu	gather together, collect; harvest	收穫 收音機 吸收	shōuhuò shōuyīnjī xīshōu
眼	yǎn	eye; eyelet, hole, opening	眼睛 眼鏡 親眼	yǎnjing yǎnjìng qīnyǎn
造	zào	construct, build, make, begin; prepare	創造 造成 改造	chuàngzào zàochéng gǎizào
念	niàn	think of, recall, study	概念 觀念 紀念	gàiniàn guānniàn jìniàn
留	liú	stop, halt; stay, detain, keep	留言 留學 留學生	liúyán liúxué liúxuéshēng
課	kè	lesson; course; classwork	上課 下課 功課	shàngkè xiàkè gōngkè
破	pò	break, ruin, destroy; rout	破壞 破爛 破裂	pòhuài pòlàn pòliè
精	jīng	essence; semen; spirit	精神 精彩 精力	jīngshén jīngcǎi jīnglì
半	bàn	half	一半 半天 半夜	yībàn bàntiān bànyè
約	yuē	treaty, agreement, covenant	大約 約會 節約	dàyuē yuēhuì jiéyuē
願	yuàn	desire, want; wish; ambition	願意 願望 寧願	yuànyì yuànwàng nìngyuàn
底	dǐ	bottom, underneath, underside	到底 底下 徹底	dàodǐ dǐxia chèdǐ
答	dá	answer, reply; return; assent to	回答 答應 報答	huídá dāying bàodá
寅	yín	to respect, reverence; respectfully; 3rd terrestrial branch		
演	yǎn	perform, put on; exercise	表演 導演 演出	biǎoyǎn dǎoyǎn yǎnchū
達	dá	arrive at, reach; intelligent	表達 達成 抵達	biǎodá dáchéng dǐdá
雄	xióng	male of species; hero; manly	雄偉 英雄	xióngwěi yīngxióng
深	shēn	deep; depth; far; very, extreme	深入 深刻 深淺	shēnrù shēnkè shēnqiǎn
院	yuàn	courtyard, yard, court; school	醫院 電影院 學院	yīyuàn diànyǐngyuàn xuéyuàn
句	jù	sentence	句子 造句	jùzi zàojù
夠	gòu	enough, adequate	能夠 足夠	nénggòu zúgòu
仁	rén	humaneness, benevolence, kindness	仁愛	Rénài
假	jiǎ	falsehood, deception; vacation	請假 放假 暑假	qǐngjià fàngjià shǔjià
談	tán	talk; conversation; surname	談話 談判 會談	tánhuà tánpàn huìtán
術	shù	art, skill, special feat; method, technique	美術 藝術 技術	měishù yìshù jìshù
奉	fèng	offer; receive; serve; respect	奉獻 奉養	fèngxiàn fèngyǎng
棒	bàng	stick, club, truncheon; hit	棒球 棒子	bàngqiú bàngzi
百	bǎi	one hundred; numerous, many	百貨公司 老百姓	bǎihuògōngsī lǎobǎixìng
勝	shèng	victory; excel, be better than	勝利 名勝 勝地	shènglì míngshèng shèngdì
推	tuī	push, expel; push forward	推薦 推銷 推動	tuījiàn tuīxiāo tuīdòng
仔	zǐ	small thing, child; young animal	牛仔褲 仔細	niúzǎikù zǐxì
存	cún	exist, live, be; survive; remain	存在 保存 儲存	cúnzài bǎocún chǔcún
準	zhǔn	rule, guideline, standard	準備 標準 水準	zhǔnbèi biāozhǔn shuǐzhǔn
往	wǎng	go, depart; past, formerly	往往 交往 來往	wǎngwǎng jiāowǎng láiwǎng
碟	dié	small dish, plate		
易	yì	change; easy	容易 貿易 交易	róngyì màoyì jiāoyì
況	kuàng	condition, situation; furthermore	況且 情況 何況	kuàngqiě qíngkuàng hékuàng
晚	wǎn	night, evening; late	晚上 晚會 早晚	wǎnshang wǎnhuì zǎowǎn
凶	xiōng	culprit; murder; bad, sad		
離	lí	leave, depart; go away; separate	離開 距離 離婚	líkāi jùlí líhūn
治	zhì	govern, regulate, administer	政治 三明治 統治	zhèngzhì sānmíngzhì tǒngzhì
導	dǎo	direct, guide, lead, conduct	導演 教導 領導	dǎoyǎn jiàodǎo lǐngdǎo
段	duàn	section, piece, division	階段 手段 身段	jiēduàn shǒuduàn shēnduàn
團	tuán	sphere, ball, circle; mass, lump	團體 團圓 樂團	tuántǐ tuányuán yuètuán
周	zhōu	a dynasty; circumference	周圍 四周 周到	zhōuwéi sìzhōu zhōudào
調	diào	transfer, move, change; tune	調查 強調 聲調	diàochá qiángdiào shēngdiào
登	dēng	rise, mount, board, climb	登記 登山 登場	dēngjì dēngshān dēngchǎng
證	zhèng	proof, evidence; testify, verify	保證 簽證 證明	bǎozhèng qiānzhèng zhèngmíng
列	liè	a line; to arrange in order, classify	陳列 排列 系列	chénliè páiliè xìliè
傷	shāng	wound, injury; fall ill from	受傷 傷心 傷害	shòushāng shāngxīn shānghài
岡	gāng	ridge or crest of hill		
剛	gāng	hard, tough, rigid, strong	剛剛 剛才 剛好	gānggang gāngcái gānghǎo
排	pái	row, rank, line	排隊 牛排 安排	páiduì niúpái ānpái
德	dé	ethics, morality, virtue	道德 品德	dàodé pǐndé
匹	pǐ	bolt of cloth; counter for horses		
甚	shén	great extent; considerably	甚至	shènzhì
殺	shā	kill, slaughter, murder; hurt; to pare off, reduce, clip	自殺 殺價 殘殺	zìshā shājià cánshā
昭	zhāo	bright, luminous; illustrious		
照	zhào	shine, illumine, reflect	照片 照相機 照相	zhàopiàn zhàoxiàngjī zhàoxiàng
軟	ruǎn	soft, flexible, pliable; weak	柔軟 軟弱 軟體	róuruǎn ruǎnruò ruǎntǐ
包	bāo	wrap, pack, bundle; package	包子 麵包 錢包	bāozi miànbāo qiánbāo
怕	pà	to fear, be afraid of; apprehensive	可怕 害怕 恐怕	kěpà hàipà kǒngpà
條	tiáo	clause, condition; string, stripe	便條 麵條 條件	biàntiáo miàntiáo tiáojiàn
亦	yì	also, too; likewise		
夜	yè	night, dark; in night; by night	半夜 夜裡 夜市	bànyè yèli yèshì
商	shāng	commerce, business, trade	商店 商品 商人	shāngdiàn shāngpǐn shāngrén
既	jì	already; de facto; since; then	既然	jìrán
概	gài	generally, approximately	大概 概念 概括	dàgài gàiniàn gàikuò
根	gēn	root, base(d on); foundation	根據 根本 根源	gēnjù gēnběn gēnyuán
供	gōng	supply, provide for; offer in worship	提供 供應 供給	tígōng gōngyìng gōngjǐ
絕	jué	cut, sever, break off, terminate	拒絕 絕對 絕不	jùjué juéduì juébù
客	kè	guest, traveller; customer	客廳 不客氣 顧客	kètīng bùkèqi gùkè
切	qiè	cut, mince, slice, carve	密切 親切 一切	mìqiè qīnqiè yīqiè
集	jí	assemble, collect together	集合 集郵 集中	jíhé jíyóu jízhōng
稱	chēng	call; name, brand; address; say	名稱 稱號 稱呼	míngchēng chēnghào chēnghu
據	jù	to occupy, take possession of; a base	根據 據說 收據	gēnjù jùshuō shōujù
洛	luò	river in Shanxi province; city		
落	luò	fall, drop; net income, surplus	角落 落後 落實	jiǎoluò luòhòu luòshí
越	yuè	exceed, go beyond; the more ...	超越 優越 跨越	chāoyuè yōuyuè kuàyuè
竟	jìng	finally, after all, at last	畢竟 竟然 究竟	bìjìng jìngrán jiūjìng
盡	jǐn	exhaust, use up; deplete	盡力 盡量	jìnlì jìnliàng
待	dài	treat, entertain, receive; wait	等待 招待 待會兒	děngdài zhāodài dāihuìr
聞	wén	hear; smell; make known; news	新聞 聞名	xīnwén wénmíng
園	yuán	garden; park, orchard	公園 校園 花園	gōngyuán xiàoyuán huāyuán
忘	wàng	forget; neglect; miss, omit	忘記 遺忘	wàngjì yíwàng
值	zhí	price	價值 值得 貶值	jiàzhí zhíde biǎnzhí
彥	yàn	elegant, handsome; learned		
產	chǎn	give birth, bring forth, produce	產品 產生 生產	chǎnpǐn chǎnshēng shēngchǎn
肖	xiào	look like, resemble, be like	生肖 不肖	shēngxiào bùxiào
消	xiāo	vanish, die out; melt away	消息 取消 消除	xiāoxi qǔxiāo xiāochú
雙	shuāng	set of two, pair, couple; both	雙胞胎 雙方 雙重	shuāngbāotāi shuāngfāng shuāngchóng
紅	hóng	red, vermillion; blush, flush	紅綠燈 紅色 紅茶	hónglǜdēng hóngsè hóngchá
坐	zuò	sit; seat; ride, travel by	坐牢 坐鎮	zuòláo zuòzhèn
座	zuò	seat; stand, base	座位 講座 賣座	zuòwèi jiǎngzuò màizuò
展	zhǎn	open, unfold; stretch, extend	發展 展出 展開	fāzhǎn zhǎnchū zhǎnkāi
跑	pǎo	run, flee, leave in hurry	跑步 慢跑 奔跑	pǎobù mànpǎo bēnpǎo
付	fù	give, deliver, pay, hand over; entrust	付出 對付 應付	fùchū duìfu yìngfu
附	fù	adhere to, append; rely on near to	附近 附加 附上	fùjìn fùjiā fùshàng
嘛	ma	final exclamatory particle	幹嘛	gànmá
丸	wán	small round object; pellet, pill		
執	zhí	hold in hand; keep; carry out	執行 固執 執照	zhíxíng gùzhí zhízhào
曰	yuē	say; KangXi radical 73		
昌	chāng	light of sun; good, proper		
唱	chàng	sing, chant, call; ditty, song	唱歌 合唱 演唱	chànggē héchàng yǎnchàng
技	jì	skill, ability, talent, ingenuity	技巧 科技 技術	jìqiǎo kējì jìshù
某	mǒu	certain thing or person	某些	mǒuxiē
硬	yìng	hard, firm, strong; obstinate	堅硬 生硬 硬體	jiānyìng shēngyìng yìngtǐ
斯	sī	this, thus, such; to lop off; emphatic particle	伊斯蘭教 斯文 瓦斯	Yīsīlánjiào sīwén wǎsī
云	yún	say, speak; clouds		
雲	yún	clouds		
遊	yóu	wander, roam, travel	旅遊 遊客 導遊	lǚyóu yóukè dǎoyóu
息	xī	rest, put stop to, end, cease	休息 消息 利息	xiūxi xiāoxi lìxī
助	zhù	help, aid, assist	幫助 協助 助理	bāngzhù xiézhù zhùlǐ
須	xū	must, have to, necessary; moment; whiskers	必須 須知	bìxū xūzhī
苦	kǔ	bitter; hardship, suffering	辛苦 痛苦 吃苦	xīnkǔ tòngkǔ chīkǔ
效	xiào	result, effect; effectiveness	效果 有效 效率	xiàoguǒ yǒuxiào xiàolǜ
質	zhì	matter, material, substance	品質 蛋白質 物質	pǐnzhì dànbáizhì wùzhì
例	lì	precedent, example; regulation	例如 例子 比例	lìrú lìzi bǐlì
矣	yǐ	particle of completed action		
唉	āi	alas, exclamation of surprise or pain		
職	zhí	duty, profession; office, post	職業 職員 辭職	zhíyè zhíyuán cízhí
復	fù	return; repeat; repeatedly	恢復 報復 復甦	huīfù bàofù fùsū
輸	shū	transport, carry, haul	輸出 輸入 運輸	shūchū shūrù yùnshū
節	jié	knot, node, joint; section	節目 春節 季節	jiémù Chūnjié jìjié
規	guī	rules, regulations, customs, law	規矩 規模 規定	guīju guīmó guīdìng
注	zhù	concentrate, focus, direct	注意 注射 注目	zhùyì zhùshè zhùmù
畢	bì	end, finish, conclude; completed	畢業 畢竟 完畢	bìyè bìjìng wánbì
查	chá	investigate, examine, seek into	檢查 調查 審查	jiǎnchá diàochá shěnchá
熱	rè	hot; heat; fever; restless; zeal	熱鬧 熱狗 熱水	rènao règǒu rèshuǐ
油	yóu	oil, fat, grease, lard; paints	加油 醬油 石油	jiāyóu jiàngyóu shíyóu
良	liáng	good, virtuous, respectable	良好 不良 優良	liánghǎo bùliáng yōuliáng
食	shí	eat; meal; food; KangXi radical number 184	食物 糧食 偏食	shíwù liángshi piānshí
館	guǎn	public building	圖書館 飯館 旅館	túshūguǎn fànguǎn lǚguǎn
態	tài	manner, bearing, attitude	態度 狀態 動態	tàidu zhuàngtài dòngtài
亭	tíng	pavilion; erect		
停	tíng	stop, suspend, delay; suitable	停車場 停止 停頓	tíngchēchǎng tíngzhǐ tíngdùn
福	fú	happiness, good fortune, blessing	幸福 福利 祝福	xìngfú fúlì zhùfú
救	jiù	save, rescue, relieve; help, aid	救護車 救命 救火	jiùhùchē jiùmìng jiùhuǒ
倒	dào	fall over; lie down; take turns	倒是 倒楣 跌倒	dàoshi dǎoméi diēdǎo
親	qīn	relatives, parents; intimate	父親 母親 親切	fùqīn mǔqīn qīnqiè
害	hài	injure, harm; destroy, kill	害羞 害怕 厲害	hàixiū hàipà lìhai
亂	luàn	confusion, state of chaos; create chaos, revolt	混亂 動亂 胡亂	hùnluàn dòngluàn húluàn
步	bù	step, pace; walk, stroll	跑步 進步 散步	pǎobù jìnbù sànbù
寶	bǎo	treasure, jewel; precious, rare	寶貝 寶貴 寶寶	bǎobèi bǎoguì bǎobǎo
擊	jī	strike, hit, beat; attack, fight	衝擊 打擊 反擊	chōngjī dǎjī fǎnjī
舉	jǔ	raise, lift up; recommend	舉辦 舉手 舉行	jǔbàn jǔshǒu jǔxíng
冬	dōng	winter, 11th lunar month	冬天 冬季	dōngtiān dōngjì
終	zhōng	end; finally, in the end	終於 始終 終場	zhōngyú shǐzhōng zhōngchǎng
恩	ēn	kindness, mercy, charity	感恩 恩愛 恩情	gǎnēn ēnài ēnqíng
嗯	ń	final particle		
印	yìn	print, seal, stamp, chop, mark	印刷 印象 印章	yìnshuā yìnxiàng yìnzhāng
限	xiàn	boundary, limit, line	限制 期限 無限	xiànzhì qīxiàn wúxiàn
依	yī	rely on, be set in; consent, obey a wish	依靠 依據 依然	yīkào yījù yīrán
斷	duàn	sever, cut off; interrupt	不斷 打斷 判斷	bùduàn dǎduàn pànduàn
輕	qīng	light; easy, simple; gentle	年輕 減輕 輕鬆	niánqīng jiǎnqīng qīngsōng
環	huán	jade ring or bracelet; ring	環境 環保 循環	huánjìng huánbǎo xúnhuán
簡	jiǎn	simple, terse, succinct; letter	簡單 簡直 簡便	jiǎndān jiǎnzhí jiǎnbiàn
趣	qù	what attracts one's attention	有趣 興趣 感興趣	yǒuqù xìngqù gǎnxìngqù
志	zhì	purpose, will, determination; annals	同志 意志 志氣	tóngzhì yìzhì zhìqì
郎	láng	gentleman, young man; husband	新郎	xīnláng
鄉	xiāng	country; rural; village	鄉下 家鄉 故鄉	xiāngxia jiāxiāng gùxiāng
響	xiǎng	make sound, make noise; sound	影響 音響 響應	yǐngxiǎng yīnxiǎng xiǎngyìng
左	zuǒ	left; east; unorthodox, improper	左邊 左右	zuǒbian zuǒyòu
隨	suí	follow, listen to, submit; to accompany; subsequently, then	隨便 隨時 隨手	suíbiàn suíshí suíshǒu
練	liàn	practice, drill, exercise, train	練習 教練 訓練	liànxí jiàoliàn xùnliàn
續	xù	continue, carry on; succeed	繼續 連續劇 手續	jìxù liánxùjù shǒuxù
魚	yú	fish; surname; KangXi radical 195	釣魚 金魚 鯨魚	diàoyú jīnyú jīngyú
扁	biǎn	flat; tablet, signboard		
篇	piān	chapter, section, essay, article		
后	hòu	queen, empress, sovereign; (simp. for 後) behind, rear, after		
司	sī	take charge of, control, manage; officer	公司 司機 百貨公司	gōngsī sījī bǎihuògōngsī
尺	chǐ	Chinese measure approx. 'foot'	公尺 尺寸	gōngchǐ chǐcun
局	jú	bureau, office; circumstance	郵局 結局 出局	yóujú jiéjú chūjú
送	sòng	see off, send off; dispatch, give	傳送 送行 運送	chuánsòng sòngxíng yùnsòng
極	jí	extreme, utmost, furthest, final	積極 極了 極其	jījí jíle jíqí
源	yuán	spring; source, head; surname	資源 來源 能源	Zīyuán láiyuán néngyuán
陽	yáng	'male' principle; light; sun	太陽 陽光	tàiyang yángguāng
幹	gàn	trunk of tree or of human body	幹部 幹嘛 幹什麼	gànbù gànmá gànshénme
羽	yǔ	feather, plume; wings; rad. 124		
習	xí	practice; flapping wings	練習 學習 習慣	liànxí xuéxí xíguàn
維	wéi	maintain, preserve, safeguard	維持 維護 維他命	wéichí wéihù wéitāmìng
羅	luó	net for catching birds; gauze		
武	wǔ	military; martial, warlike	武器 武術 武力	wǔqì wǔshù wǔlì
疑	yí	doubt, question, suspect	疑問 狐疑 懷疑	yíwèn húyí huáiyí
克	kè	gram; overcome; transliteration	巧克力 公克 克服	qiǎokèlì gōngkè kèfú
仍	réng	yet, still, as ever; again; keep -ing, continuing	仍然	réngrán
樓	lóu	building of two or more stories	樓上 樓下 大樓	lóushàng lóuxià dàlóu
佛	fú	Buddha; of Buddhism; merciful person; Buddhist image; the dead (Jap.)	佛教 佛經 佛像	Fójiào Fójīng fóxiàng
足	zú	foot; attain, satisfy, enough	足球 不足 滿足	zúqiú bùzú mǎnzú
低	dī	low; to lower, hang, bend, bow	降低 低潮	jiàngdī dīcháo
廣	guǎng	broad, wide, extensive	廣播 廣場 廣告	guǎngbō guǎngchǎng guǎnggào
煩	fán	bother, vex, trouble; troublesome	麻煩 煩惱	máfan fánnǎo
顯	xiǎn	manifest, display; evident, clear	明顯 顯得 顯然	míngxiǎn xiǎnde xiǎnrán
碼	mǎ	number, numerals; yard; symbol	號碼 碼頭 起碼	hàomǎ mǎtóu qǐmǎ
玄	xuán	deep, profound, abstruse; KangXi radical 95		
率	lǜ	to lead; ratio; rate; limit	率領 效率 比率	shuàilǐng xiàolǜ bǐlǜ
聖	shèng	holy, sacred; sage	神聖 聖賢	shénshèng shèngxián
尾	wěi	tail, extremity; end, stern	尾巴	wěiba
壞	huài	bad, spoil(ed), ruin, destroy	壞處 破壞 壞蛋	huàichu pòhuài huàidàn
初	chū	beginning, initial, primary	最初 初步 初級	zuìchū chūbù chūjí
予	yǔ	I, me; to give	賦予 給予 予以	fùyǔ jǐyǔ yǔyǐ
預	yù	prepare, arrange; in advance	預備 預習 預報	yùbèi yùxí yùbào
呀	ya	particle used to express surprise or mild emphasis; (Cant.) slurred form of the number ten	哎呀	āiyā
眾	zhòng	masses, people, multitude, crowd	觀眾 聽眾 大眾	guānzhòng tīngzhòng Dàzhòng
責	zé	one's responsibility, duty	負責 責任 指責	fùzé zérèn zhǐzé
爭	zhēng	to dispute, fight, contend, strive	戰爭 鬥爭 競爭	zhànzhēng dòuzhēng jìngzhēng
丘	qiū	hill; elder; empty; a name	丘陵	qiūlíng
兵	bīng	soldier, troops	當兵 士兵	dāngbīng shìbīng
智	zhì	wisdom, knowledge, intelligence	智慧 才智 理智	zhìhuì cáizhì lǐzhì
吳	wú	one of warring states; surname		
誤	wù	err, make mistake; interfere	錯誤 誤會 耽誤	cuòwù wùhuì dānwu
境	jìng	boundary, frontier; area, region	環境 出境 入境	huánjìng chūjìng rùjìng
川	chuān	stream, river; flow; boil		
順	shùn	obey, submit to, go along with	順便 順利 孝順	shùnbiàn shùnlì xiàoshùn
野	yě	open country, field; wilderness	野餐 視野 田野	yěcān shìyě tiányě
楚	chǔ	name of feudal state; clear	清楚	qīngchu
貴	guì	expensive, costly, valuable	寶貴 貴姓 珍貴	bǎoguì guìxìng zhēnguì
負	fù	load, burden; carry, bear	負擔 負責 欺負	fùdān fùzé qīfu
冒	mào	risk, brave, dare	感冒 仿冒 冒險	gǎnmào fǎngmào màoxiǎn
厭	yàn	dislike, detest, reject; satiate	討厭 厭惡	tǎoyàn yànwù
壓	yā	press; oppress; crush; pressure	壓力 壓迫 電壓	yālì yāpò diànyā
適	shì	match, comfortable; just	適應 舒適 合適	shìyìng shūshì héshì
係	xì	bind, tie up; involve, relation	沒關係 關係	méiguānxi guānxi
測	cè	measure, estimate, conjecture	測量 測試 測驗	cèliáng cèshì cèyàn
懷	huái	bosom, breast; carry in bosom	懷念 懷孕 關懷	huáiniàn huáiyùn guānhuái
迎	yíng	receive, welcome, greet	歡迎 迎接 迎合	huānyíng yíngjiē yínghé
配	pèi	match, pair; equal; blend	配合 分配 搭配	pèihé fēnpèi dāpèi
鬼	guǐ	ghost; spirit of dead; devil	鬼怪	guǐguài
魔	mó	demon, evil spirits; magic power	魔術	móshù
曼	màn	long, extended, vast; beautiful		
慢	màn	slow(ly), leisurely, sluggish	慢慢 慢跑 慢用	mànmàn mànpǎo mànyòng
哇	wa	vomit; cry of an infant		
董	dǒng	direct, supervise; surname		
懂	dǒng	understand, comprehend	懂事 懂得	dǒngshì dǒngde
嗚	wū	sound of crying, sobbing		
味	wèi	taste, smell, odor; delicacy	味道 口味 氣味	wèidao kǒuwèi qìwèi
評	píng	appraise, criticize, evaluate	批評 評估 評價	pīpíng pínggū píngjià
舞	wǔ	dance, posture, prance; brandish	跳舞 舞會 鼓舞	tiàowǔ wǔhuì gǔwǔ
細	xì	fine, tiny; slender, thin	細心 詳細 仔細	xìxīn xiángxì zǐxì
醫	yī	cure, heal; doctor, medical	醫生 醫院 醫師	yīshēng yīyuàn yīshī
帝	dì	supreme ruler, emperor; god	上帝 皇帝	Shàngdì huángdì
屬	shǔ	class, category, type; to belong to	金屬 屬於 家屬	jīnshǔ shǔyú jiāshǔ
戀	liàn	love; long for, yearn for; love	戀愛 失戀 迷戀	liànài shīliàn míliàn
敗	bài	be defeated, decline, fail	腐敗 失敗 成敗	fǔbài shībài chéngbài
宜	yí	suitable, right, fitting, proper	便宜 不宜 事宜	biànyí bùyí shìyí
楊	yáng	willow, poplar, aspen; surname		
追	zhuī	pursue, chase after; expel	追求 追捕 追查	zhuīqiú zhuībǔ zhuīchá
灌	guàn	pour; water; irrigate, flood	灌溉 灌輸	guàngài guànshū
屯	tún	village, hamlet; camp; station		
春	chūn	spring; wanton	春天 春節 春季	chūntiān Chūnjié chūnjì
敢	gǎn	to dare, venture; bold, brave	勇敢 不敢當	yǒnggǎn bùgǎndāng
